	        [1]	        [2]	        [3]	        [4]	        [5]	        [6]	        [7]	        [8]	        [9]	        [10]	        [11]	        [12]	        [13]	        [14]	        [15]	        [16]	        [17]	        [18]	        [19]	        [20]	        [21]	        [22]	        [23]	        [24]	        [25]	        [26]	        [27]	        [28]	        [29]	        [30]	        [31]	        [32]	        [33]	        [34]	        [35]	        [36]	        [37]	        [38]	        [39]	        [40]	        [41]	        [42]	        [43]	        [44]	        [45]	        [46]	        [47]	        [48]	        [49]	        [50]	        [51]	        [52]	        [53]	        [54]	        [55]	        [56]	        [57]	        [58]	        [59]	        [60]	        [61]	        [62]	        [63]	        [64]	        [65]	        [66]	        [67]	        [68]	        [69]	        [70]	        [71]	        [72]	        [73]	        [74]	        [75]	        [76]	        [77]	        [78]	        [79]	        [80]	        [81]	        [82]	        [83]	        [84]	        [85]	        [86]	        [87]	        [88]	        [89]	        [90]	        [91]	        [92]	        [93]	        [94]	        [95]	        [96]	        [97]	        [98]	        [99]	        [100]	
[75]	1.23075E-119	1.91529E-116	2.69693E-113	3.43618E-110	3.96143E-107	4.13236E-104	3.90046E-101	 3.33122E-98	 2.57432E-95	 1.80008E-92	 1.13891E-89	 6.52019E-87	 3.37754E-84	 1.58311E-81	 6.71418E-79	 2.57659E-76	 8.94681E-74	   2.811E-71	 7.99144E-69	  2.0557E-66	 4.78481E-64	 1.00772E-61	 1.92038E-59	 3.31133E-57	 5.16642E-55	 7.29369E-53	 9.31699E-51	  1.0769E-48	 1.12627E-46	 1.06582E-44	 9.12629E-43	 7.07091E-41	 4.95709E-39	 3.14448E-37	 1.80485E-35	 9.37356E-34	 4.40492E-32	 1.87302E-30	 7.20639E-29	 2.50878E-27	 7.90276E-26	  2.2525E-24	 5.80928E-23	 1.35566E-21	 2.86252E-20	 5.46911E-19	 9.45489E-18	 1.47899E-16	 2.09337E-15	   2.681E-14	 3.10684E-13	  3.2577E-12	 3.09082E-11	 2.65342E-10	 2.06115E-09	 1.44872E-08	  9.2136E-08	 5.30206E-07	 2.76077E-06	 1.30073E-05	 5.54516E-05	   0.0002139	 0.000746586	  0.00235786	  0.00673795	   0.0174224	   0.0407622	   0.0862936	    0.165299	    0.286505	    0.449329	    0.637628	    0.818731	    0.951229	           1	    0.951229	    0.818731	    0.637628	    0.449329	    0.286505	    0.165299	   0.0862936	   0.0407622	   0.0174224	  0.00673795	  0.00235786	 0.000746586	   0.0002139	 5.54516E-05	 1.30073E-05	 2.76077E-06	 5.30206E-07	  9.2136E-08	 1.44872E-08	 2.06115E-09	 2.65342E-10	 3.09082E-11	  3.2577E-12	 3.10684E-13	   2.681E-14	
[76]	7.15611E-123	1.23075E-119	1.91529E-116	2.69693E-113	3.43618E-110	3.96143E-107	4.13236E-104	3.90046E-101	 3.33122E-98	 2.57432E-95	 1.80008E-92	 1.13891E-89	 6.52019E-87	 3.37754E-84	 1.58311E-81	 6.71418E-79	 2.57659E-76	 8.94681E-74	   2.811E-71	 7.99144E-69	  2.0557E-66	 4.78481E-64	 1.00772E-61	 1.92038E-59	 3.31133E-57	 5.16642E-55	 7.29369E-53	 9.31699E-51	  1.0769E-48	 1.12627E-46	 1.06582E-44	 9.12629E-43	 7.07091E-41	 4.95709E-39	 3.14448E-37	 1.80485E-35	 9.37356E-34	 4.40492E-32	 1.87302E-30	 7.20639E-29	 2.50878E-27	 7.90276E-26	  2.2525E-24	 5.80928E-23	 1.35566E-21	 2.86252E-20	 5.46911E-19	 9.45489E-18	 1.47899E-16	 2.09337E-15	   2.681E-14	 3.10684E-13	  3.2577E-12	 3.09082E-11	 2.65342E-10	 2.06115E-09	 1.44872E-08	  9.2136E-08	 5.30206E-07	 2.76077E-06	 1.30073E-05	 5.54516E-05	   0.0002139	 0.000746586	  0.00235786	  0.00673795	   0.0174224	   0.0407622	   0.0862936	    0.165299	    0.286505	    0.449329	    0.637628	    0.818731	    0.951229	           1	    0.951229	    0.818731	    0.637628	    0.449329	    0.286505	    0.165299	   0.0862936	   0.0407622	   0.0174224	  0.00673795	  0.00235786	 0.000746586	   0.0002139	 5.54516E-05	 1.30073E-05	 2.76077E-06	 5.30206E-07	  9.2136E-08	 1.44872E-08	 2.06115E-09	 2.65342E-10	 3.09082E-11	  3.2577E-12	 3.10684E-13	
[77]	 3.7649E-126	7.15611E-123	1.23075E-119	1.91529E-116	2.69693E-113	3.43618E-110	3.96143E-107	4.13236E-104	3.90046E-101	 3.33122E-98	 2.57432E-95	 1.80008E-92	 1.13891E-89	 6.52019E-87	 3.37754E-84	 1.58311E-81	 6.71418E-79	 2.57659E-76	 8.94681E-74	   2.811E-71	 7.99144E-69	  2.0557E-66	 4.78481E-64	 1.00772E-61	 1.92038E-59	 3.31133E-57	 5.16642E-55	 7.29369E-53	 9.31699E-51	  1.0769E-48	 1.12627E-46	 1.06582E-44	 9.12629E-43	 7.07091E-41	 4.95709E-39	 3.14448E-37	 1.80485E-35	 9.37356E-34	 4.40492E-32	 1.87302E-30	 7.20639E-29	 2.50878E-27	 7.90276E-26	  2.2525E-24	 5.80928E-23	 1.35566E-21	 2.86252E-20	 5.46911E-19	 9.45489E-18	 1.47899E-16	 2.09337E-15	   2.681E-14	 3.10684E-13	  3.2577E-12	 3.09082E-11	 2.65342E-10	 2.06115E-09	 1.44872E-08	  9.2136E-08	 5.30206E-07	 2.76077E-06	 1.30073E-05	 5.54516E-05	   0.0002139	 0.000746586	  0.00235786	  0.00673795	   0.0174224	   0.0407622	   0.0862936	    0.165299	    0.286505	    0.449329	    0.637628	    0.818731	    0.951229	           1	    0.951229	    0.818731	    0.637628	    0.449329	    0.286505	    0.165299	   0.0862936	   0.0407622	   0.0174224	  0.00673795	  0.00235786	 0.000746586	   0.0002139	 5.54516E-05	 1.30073E-05	 2.76077E-06	 5.30206E-07	  9.2136E-08	 1.44872E-08	 2.06115E-09	 2.65342E-10	 3.09082E-11	  3.2577E-12	
[78]	1.79226E-129	 3.7649E-126	7.15611E-123	1.23075E-119	1.91529E-116	2.69693E-113	3.43618E-110	3.96143E-107	4.13236E-104	3.90046E-101	 3.33122E-98	 2.57432E-95	 1.80008E-92	 1.13891E-89	 6.52019E-87	 3.37754E-84	 1.58311E-81	 6.71418E-79	 2.57659E-76	 8.94681E-74	   2.811E-71	 7.99144E-69	  2.0557E-66	 4.78481E-64	 1.00772E-61	 1.92038E-59	 3.31133E-57	 5.16642E-55	 7.29369E-53	 9.31699E-51	  1.0769E-48	 1.12627E-46	 1.06582E-44	 9.12629E-43	 7.07091E-41	 4.95709E-39	 3.14448E-37	 1.80485E-35	 9.37356E-34	 4.40492E-32	 1.87302E-30	 7.20639E-29	 2.50878E-27	 7.90276E-26	  2.2525E-24	 5.80928E-23	 1.35566E-21	 2.86252E-20	 5.46911E-19	 9.45489E-18	 1.47899E-16	 2.09337E-15	   2.681E-14	 3.10684E-13	  3.2577E-12	 3.09082E-11	 2.65342E-10	 2.06115E-09	 1.44872E-08	  9.2136E-08	 5.30206E-07	 2.76077E-06	 1.30073E-05	 5.54516E-05	   0.0002139	 0.000746586	  0.00235786	  0.00673795	   0.0174224	   0.0407622	   0.0862936	    0.165299	    0.286505	    0.449329	    0.637628	    0.818731	    0.951229	           1	    0.951229	    0.818731	    0.637628	    0.449329	    0.286505	    0.165299	   0.0862936	   0.0407622	   0.0174224	  0.00673795	  0.00235786	 0.000746586	   0.0002139	 5.54516E-05	 1.30073E-05	 2.76077E-06	 5.30206E-07	  9.2136E-08	 1.44872E-08	 2.06115E-09	 2.65342E-10	 3.09082E-11	
[79]	7.72002E-133	1.79226E-129	 3.7649E-126	7.15611E-123	1.23075E-119	1.91529E-116	2.69693E-113	3.43618E-110	3.96143E-107	4.13236E-104	3.90046E-101	 3.33122E-98	 2.57432E-95	 1.80008E-92	 1.13891E-89	 6.52019E-87	 3.37754E-84	 1.58311E-81	 6.71418E-79	 2.57659E-76	 8.94681E-74	   2.811E-71	 7.99144E-69	  2.0557E-66	 4.78481E-64	 1.00772E-61	 1.92038E-59	 3.31133E-57	 5.16642E-55	 7.29369E-53	 9.31699E-51	  1.0769E-48	 1.12627E-46	 1.06582E-44	 9.12629E-43	 7.07091E-41	 4.95709E-39	 3.14448E-37	 1.80485E-35	 9.37356E-34	 4.40492E-32	 1.87302E-30	 7.20639E-29	 2.50878E-27	 7.90276E-26	  2.2525E-24	 5.80928E-23	 1.35566E-21	 2.86252E-20	 5.46911E-19	 9.45489E-18	 1.47899E-16	 2.09337E-15	   2.681E-14	 3.10684E-13	  3.2577E-12	 3.09082E-11	 2.65342E-10	 2.06115E-09	 1.44872E-08	  9.2136E-08	 5.30206E-07	 2.76077E-06	 1.30073E-05	 5.54516E-05	   0.0002139	 0.000746586	  0.00235786	  0.00673795	   0.0174224	   0.0407622	   0.0862936	    0.165299	    0.286505	    0.449329	    0.637628	    0.818731	    0.951229	           1	    0.951229	    0.818731	    0.637628	    0.449329	    0.286505	    0.165299	   0.0862936	   0.0407622	   0.0174224	  0.00673795	  0.00235786	 0.000746586	   0.0002139	 5.54516E-05	 1.30073E-05	 2.76077E-06	 5.30206E-07	  9.2136E-08	 1.44872E-08	 2.06115E-09	 2.65342E-10	
[80]	3.00889E-136	7.72002E-133	1.79226E-129	 3.7649E-126	7.15611E-123	1.23075E-119	1.91529E-116	2.69693E-113	3.43618E-110	3.96143E-107	4.13236E-104	3.90046E-101	 3.33122E-98	 2.57432E-95	 1.80008E-92	 1.13891E-89	 6.52019E-87	 3.37754E-84	 1.58311E-81	 6.71418E-79	 2.57659E-76	 8.94681E-74	   2.811E-71	 7.99144E-69	  2.0557E-66	 4.78481E-64	 1.00772E-61	 1.92038E-59	 3.31133E-57	 5.16642E-55	 7.29369E-53	 9.31699E-51	  1.0769E-48	 1.12627E-46	 1.06582E-44	 9.12629E-43	 7.07091E-41	 4.95709E-39	 3.14448E-37	 1.80485E-35	 9.37356E-34	 4.40492E-32	 1.87302E-30	 7.20639E-29	 2.50878E-27	 7.90276E-26	  2.2525E-24	 5.80928E-23	 1.35566E-21	 2.86252E-20	 5.46911E-19	 9.45489E-18	 1.47899E-16	 2.09337E-15	   2.681E-14	 3.10684E-13	  3.2577E-12	 3.09082E-11	 2.65342E-10	 2.06115E-09	 1.44872E-08	  9.2136E-08	 5.30206E-07	 2.76077E-06	 1.30073E-05	 5.54516E-05	   0.0002139	 0.000746586	  0.00235786	  0.00673795	   0.0174224	   0.0407622	   0.0862936	    0.165299	    0.286505	    0.449329	    0.637628	    0.818731	    0.951229	           1	    0.951229	    0.818731	    0.637628	    0.449329	    0.286505	    0.165299	   0.0862936	   0.0407622	   0.0174224	  0.00673795	  0.00235786	 0.000746586	   0.0002139	 5.54516E-05	 1.30073E-05	 2.76077E-06	 5.30206E-07	  9.2136E-08	 1.44872E-08	 2.06115E-09	
[81]	1.06112E-139	3.00889E-136	7.72002E-133	1.79226E-129	 3.7649E-126	7.15611E-123	1.23075E-119	1.91529E-116	2.69693E-113	3.43618E-110	3.96143E-107	4.13236E-104	3.90046E-101	 3.33122E-98	 2.57432E-95	 1.80008E-92	 1.13891E-89	 6.52019E-87	 3.37754E-84	 1.58311E-81	 6.71418E-79	 2.57659E-76	 8.94681E-74	   2.811E-71	 7.99144E-69	  2.0557E-66	 4.78481E-64	 1.00772E-61	 1.92038E-59	 3.31133E-57	 5.16642E-55	 7.29369E-53	 9.31699E-51	  1.0769E-48	 1.12627E-46	 1.06582E-44	 9.12629E-43	 7.07091E-41	 4.95709E-39	 3.14448E-37	 1.80485E-35	 9.37356E-34	 4.40492E-32	 1.87302E-30	 7.20639E-29	 2.50878E-27	 7.90276E-26	  2.2525E-24	 5.80928E-23	 1.35566E-21	 2.86252E-20	 5.46911E-19	 9.45489E-18	 1.47899E-16	 2.09337E-15	   2.681E-14	 3.10684E-13	  3.2577E-12	 3.09082E-11	 2.65342E-10	 2.06115E-09	 1.44872E-08	  9.2136E-08	 5.30206E-07	 2.76077E-06	 1.30073E-05	 5.54516E-05	   0.0002139	 0.000746586	  0.00235786	  0.00673795	   0.0174224	   0.0407622	   0.0862936	    0.165299	    0.286505	    0.449329	    0.637628	    0.818731	    0.951229	           1	    0.951229	    0.818731	    0.637628	    0.449329	    0.286505	    0.165299	   0.0862936	   0.0407622	   0.0174224	  0.00673795	  0.00235786	 0.000746586	   0.0002139	 5.54516E-05	 1.30073E-05	 2.76077E-06	 5.30206E-07	  9.2136E-08	 1.44872E-08	
[82]	3.38606E-143	1.06112E-139	3.00889E-136	7.72002E-133	1.79226E-129	 3.7649E-126	7.15611E-123	1.23075E-119	1.91529E-116	2.69693E-113	3.43618E-110	3.96143E-107	4.13236E-104	3.90046E-101	 3.33122E-98	 2.57432E-95	 1.80008E-92	 1.13891E-89	 6.52019E-87	 3.37754E-84	 1.58311E-81	 6.71418E-79	 2.57659E-76	 8.94681E-74	   2.811E-71	 7.99144E-69	  2.0557E-66	 4.78481E-64	 1.00772E-61	 1.92038E-59	 3.31133E-57	 5.16642E-55	 7.29369E-53	 9.31699E-51	  1.0769E-48	 1.12627E-46	 1.06582E-44	 9.12629E-43	 7.07091E-41	 4.95709E-39	 3.14448E-37	 1.80485E-35	 9.37356E-34	 4.40492E-32	 1.87302E-30	 7.20639E-29	 2.50878E-27	 7.90276E-26	  2.2525E-24	 5.80928E-23	 1.35566E-21	 2.86252E-20	 5.46911E-19	 9.45489E-18	 1.47899E-16	 2.09337E-15	   2.681E-14	 3.10684E-13	  3.2577E-12	 3.09082E-11	 2.65342E-10	 2.06115E-09	 1.44872E-08	  9.2136E-08	 5.30206E-07	 2.76077E-06	 1.30073E-05	 5.54516E-05	   0.0002139	 0.000746586	  0.00235786	  0.00673795	   0.0174224	   0.0407622	   0.0862936	    0.165299	    0.286505	    0.449329	    0.637628	    0.818731	    0.951229	           1	    0.951229	    0.818731	    0.637628	    0.449329	    0.286505	    0.165299	   0.0862936	   0.0407622	   0.0174224	  0.00673795	  0.00235786	 0.000746586	   0.0002139	 5.54516E-05	 1.30073E-05	 2.76077E-06	 5.30206E-07	  9.2136E-08	
[83]	9.77677E-147	3.38606E-143	1.06112E-139	3.00889E-136	7.72002E-133	1.79226E-129	 3.7649E-126	7.15611E-123	1.23075E-119	1.91529E-116	2.69693E-113	3.43618E-110	3.96143E-107	4.13236E-104	3.90046E-101	 3.33122E-98	 2.57432E-95	 1.80008E-92	 1.13891E-89	 6.52019E-87	 3.37754E-84	 1.58311E-81	 6.71418E-79	 2.57659E-76	 8.94681E-74	   2.811E-71	 7.99144E-69	  2.0557E-66	 4.78481E-64	 1.00772E-61	 1.92038E-59	 3.31133E-57	 5.16642E-55	 7.29369E-53	 9.31699E-51	  1.0769E-48	 1.12627E-46	 1.06582E-44	 9.12629E-43	 7.07091E-41	 4.95709E-39	 3.14448E-37	 1.80485E-35	 9.37356E-34	 4.40492E-32	 1.87302E-30	 7.20639E-29	 2.50878E-27	 7.90276E-26	  2.2525E-24	 5.80928E-23	 1.35566E-21	 2.86252E-20	 5.46911E-19	 9.45489E-18	 1.47899E-16	 2.09337E-15	   2.681E-14	 3.10684E-13	  3.2577E-12	 3.09082E-11	 2.65342E-10	 2.06115E-09	 1.44872E-08	  9.2136E-08	 5.30206E-07	 2.76077E-06	 1.30073E-05	 5.54516E-05	   0.0002139	 0.000746586	  0.00235786	  0.00673795	   0.0174224	   0.0407622	   0.0862936	    0.165299	    0.286505	    0.449329	    0.637628	    0.818731	    0.951229	           1	    0.951229	    0.818731	    0.637628	    0.449329	    0.286505	    0.165299	   0.0862936	   0.0407622	   0.0174224	  0.00673795	  0.00235786	 0.000746586	   0.0002139	 5.54516E-05	 1.30073E-05	 2.76077E-06	 5.30206E-07	
[84]	2.55426E-150	9.77677E-147	3.38606E-143	1.06112E-139	3.00889E-136	7.72002E-133	1.79226E-129	 3.7649E-126	7.15611E-123	1.23075E-119	1.91529E-116	2.69693E-113	3.43618E-110	3.96143E-107	4.13236E-104	3.90046E-101	 3.33122E-98	 2.57432E-95	 1.80008E-92	 1.13891E-89	 6.52019E-87	 3.37754E-84	 1.58311E-81	 6.71418E-79	 2.57659E-76	 8.94681E-74	   2.811E-71	 7.99144E-69	  2.0557E-66	 4.78481E-64	 1.00772E-61	 1.92038E-59	 3.31133E-57	 5.16642E-55	 7.29369E-53	 9.31699E-51	  1.0769E-48	 1.12627E-46	 1.06582E-44	 9.12629E-43	 7.07091E-41	 4.95709E-39	 3.14448E-37	 1.80485E-35	 9.37356E-34	 4.40492E-32	 1.87302E-30	 7.20639E-29	 2.50878E-27	 7.90276E-26	  2.2525E-24	 5.80928E-23	 1.35566E-21	 2.86252E-20	 5.46911E-19	 9.45489E-18	 1.47899E-16	 2.09337E-15	   2.681E-14	 3.10684E-13	  3.2577E-12	 3.09082E-11	 2.65342E-10	 2.06115E-09	 1.44872E-08	  9.2136E-08	 5.30206E-07	 2.76077E-06	 1.30073E-05	 5.54516E-05	   0.0002139	 0.000746586	  0.00235786	  0.00673795	   0.0174224	   0.0407622	   0.0862936	    0.165299	    0.286505	    0.449329	    0.637628	    0.818731	    0.951229	           1	    0.951229	    0.818731	    0.637628	    0.449329	    0.286505	    0.165299	   0.0862936	   0.0407622	   0.0174224	  0.00673795	  0.00235786	 0.000746586	   0.0002139	 5.54516E-05	 1.30073E-05	 2.76077E-06	
[85]	6.03819E-154	2.55426E-150	9.77677E-147	3.38606E-143	1.06112E-139	3.00889E-136	7.72002E-133	1.79226E-129	 3.7649E-126	7.15611E-123	1.23075E-119	1.91529E-116	2.69693E-113	3.43618E-110	3.96143E-107	4.13236E-104	3.90046E-101	 3.33122E-98	 2.57432E-95	 1.80008E-92	 1.13891E-89	 6.52019E-87	 3.37754E-84	 1.58311E-81	 6.71418E-79	 2.57659E-76	 8.94681E-74	   2.811E-71	 7.99144E-69	  2.0557E-66	 4.78481E-64	 1.00772E-61	 1.92038E-59	 3.31133E-57	 5.16642E-55	 7.29369E-53	 9.31699E-51	  1.0769E-48	 1.12627E-46	 1.06582E-44	 9.12629E-43	 7.07091E-41	 4.95709E-39	 3.14448E-37	 1.80485E-35	 9.37356E-34	 4.40492E-32	 1.87302E-30	 7.20639E-29	 2.50878E-27	 7.90276E-26	  2.2525E-24	 5.80928E-23	 1.35566E-21	 2.86252E-20	 5.46911E-19	 9.45489E-18	 1.47899E-16	 2.09337E-15	   2.681E-14	 3.10684E-13	  3.2577E-12	 3.09082E-11	 2.65342E-10	 2.06115E-09	 1.44872E-08	  9.2136E-08	 5.30206E-07	 2.76077E-06	 1.30073E-05	 5.54516E-05	   0.0002139	 0.000746586	  0.00235786	  0.00673795	   0.0174224	   0.0407622	   0.0862936	    0.165299	    0.286505	    0.449329	    0.637628	    0.818731	    0.951229	           1	    0.951229	    0.818731	    0.637628	    0.449329	    0.286505	    0.165299	   0.0862936	   0.0407622	   0.0174224	  0.00673795	  0.00235786	 0.000746586	   0.0002139	 5.54516E-05	 1.30073E-05	
[86]	1.29157E-157	6.03819E-154	2.55426E-150	9.77677E-147	3.38606E-143	1.06112E-139	3.00889E-136	7.72002E-133	1.79226E-129	 3.7649E-126	7.15611E-123	1.23075E-119	1.91529E-116	2.69693E-113	3.43618E-110	3.96143E-107	4.13236E-104	3.90046E-101	 3.33122E-98	 2.57432E-95	 1.80008E-92	 1.13891E-89	 6.52019E-87	 3.37754E-84	 1.58311E-81	 6.71418E-79	 2.57659E-76	 8.94681E-74	   2.811E-71	 7.99144E-69	  2.0557E-66	 4.78481E-64	 1.00772E-61	 1.92038E-59	 3.31133E-57	 5.16642E-55	 7.29369E-53	 9.31699E-51	  1.0769E-48	 1.12627E-46	 1.06582E-44	 9.12629E-43	 7.07091E-41	 4.95709E-39	 3.14448E-37	 1.80485E-35	 9.37356E-34	 4.40492E-32	 1.87302E-30	 7.20639E-29	 2.50878E-27	 7.90276E-26	  2.2525E-24	 5.80928E-23	 1.35566E-21	 2.86252E-20	 5.46911E-19	 9.45489E-18	 1.47899E-16	 2.09337E-15	   2.681E-14	 3.10684E-13	  3.2577E-12	 3.09082E-11	 2.65342E-10	 2.06115E-09	 1.44872E-08	  9.2136E-08	 5.30206E-07	 2.76077E-06	 1.30073E-05	 5.54516E-05	   0.0002139	 0.000746586	  0.00235786	  0.00673795	   0.0174224	   0.0407622	   0.0862936	    0.165299	    0.286505	    0.449329	    0.637628	    0.818731	    0.951229	           1	    0.951229	    0.818731	    0.637628	    0.449329	    0.286505	    0.165299	   0.0862936	   0.0407622	   0.0174224	  0.00673795	  0.00235786	 0.000746586	   0.0002139	 5.54516E-05	
[87]	2.49977E-161	1.29157E-157	6.03819E-154	2.55426E-150	9.77677E-147	3.38606E-143	1.06112E-139	3.00889E-136	7.72002E-133	1.79226E-129	 3.7649E-126	7.15611E-123	1.23075E-119	1.91529E-116	2.69693E-113	3.43618E-110	3.96143E-107	4.13236E-104	3.90046E-101	 3.33122E-98	 2.57432E-95	 1.80008E-92	 1.13891E-89	 6.52019E-87	 3.37754E-84	 1.58311E-81	 6.71418E-79	 2.57659E-76	 8.94681E-74	   2.811E-71	 7.99144E-69	  2.0557E-66	 4.78481E-64	 1.00772E-61	 1.92038E-59	 3.31133E-57	 5.16642E-55	 7.29369E-53	 9.31699E-51	  1.0769E-48	 1.12627E-46	 1.06582E-44	 9.12629E-43	 7.07091E-41	 4.95709E-39	 3.14448E-37	 1.80485E-35	 9.37356E-34	 4.40492E-32	 1.87302E-30	 7.20639E-29	 2.50878E-27	 7.90276E-26	  2.2525E-24	 5.80928E-23	 1.35566E-21	 2.86252E-20	 5.46911E-19	 9.45489E-18	 1.47899E-16	 2.09337E-15	   2.681E-14	 3.10684E-13	  3.2577E-12	 3.09082E-11	 2.65342E-10	 2.06115E-09	 1.44872E-08	  9.2136E-08	 5.30206E-07	 2.76077E-06	 1.30073E-05	 5.54516E-05	   0.0002139	 0.000746586	  0.00235786	  0.00673795	   0.0174224	   0.0407622	   0.0862936	    0.165299	    0.286505	    0.449329	    0.637628	    0.818731	    0.951229	           1	    0.951229	    0.818731	    0.637628	    0.449329	    0.286505	    0.165299	   0.0862936	   0.0407622	   0.0174224	  0.00673795	  0.00235786	 0.000746586	   0.0002139	
[88]	4.37777E-165	2.49977E-161	1.29157E-157	6.03819E-154	2.55426E-150	9.77677E-147	3.38606E-143	1.06112E-139	3.00889E-136	7.72002E-133	1.79226E-129	 3.7649E-126	7.15611E-123	1.23075E-119	1.91529E-116	2.69693E-113	3.43618E-110	3.96143E-107	4.13236E-104	3.90046E-101	 3.33122E-98	 2.57432E-95	 1.80008E-92	 1.13891E-89	 6.52019E-87	 3.37754E-84	 1.58311E-81	 6.71418E-79	 2.57659E-76	 8.94681E-74	   2.811E-71	 7.99144E-69	  2.0557E-66	 4.78481E-64	 1.00772E-61	 1.92038E-59	 3.31133E-57	 5.16642E-55	 7.29369E-53	 9.31699E-51	  1.0769E-48	 1.12627E-46	 1.06582E-44	 9.12629E-43	 7.07091E-41	 4.95709E-39	 3.14448E-37	 1.80485E-35	 9.37356E-34	 4.40492E-32	 1.87302E-30	 7.20639E-29	 2.50878E-27	 7.90276E-26	  2.2525E-24	 5.80928E-23	 1.35566E-21	 2.86252E-20	 5.46911E-19	 9.45489E-18	 1.47899E-16	 2.09337E-15	   2.681E-14	 3.10684E-13	  3.2577E-12	 3.09082E-11	 2.65342E-10	 2.06115E-09	 1.44872E-08	  9.2136E-08	 5.30206E-07	 2.76077E-06	 1.30073E-05	 5.54516E-05	   0.0002139	 0.000746586	  0.00235786	  0.00673795	   0.0174224	   0.0407622	   0.0862936	    0.165299	    0.286505	    0.449329	    0.637628	    0.818731	    0.951229	           1	    0.951229	    0.818731	    0.637628	    0.449329	    0.286505	    0.165299	   0.0862936	   0.0407622	   0.0174224	  0.00673795	  0.00235786	 0.000746586	
[89]	6.93708E-169	4.37777E-165	2.49977E-161	1.29157E-157	6.03819E-154	2.55426E-150	9.77677E-147	3.38606E-143	1.06112E-139	3.00889E-136	7.72002E-133	1.79226E-129	 3.7649E-126	7.15611E-123	1.23075E-119	1.91529E-116	2.69693E-113	3.43618E-110	3.96143E-107	4.13236E-104	3.90046E-101	 3.33122E-98	 2.57432E-95	 1.80008E-92	 1.13891E-89	 6.52019E-87	 3.37754E-84	 1.58311E-81	 6.71418E-79	 2.57659E-76	 8.94681E-74	   2.811E-71	 7.99144E-69	  2.0557E-66	 4.78481E-64	 1.00772E-61	 1.92038E-59	 3.31133E-57	 5.16642E-55	 7.29369E-53	 9.31699E-51	  1.0769E-48	 1.12627E-46	 1.06582E-44	 9.12629E-43	 7.07091E-41	 4.95709E-39	 3.14448E-37	 1.80485E-35	 9.37356E-34	 4.40492E-32	 1.87302E-30	 7.20639E-29	 2.50878E-27	 7.90276E-26	  2.2525E-24	 5.80928E-23	 1.35566E-21	 2.86252E-20	 5.46911E-19	 9.45489E-18	 1.47899E-16	 2.09337E-15	   2.681E-14	 3.10684E-13	  3.2577E-12	 3.09082E-11	 2.65342E-10	 2.06115E-09	 1.44872E-08	  9.2136E-08	 5.30206E-07	 2.76077E-06	 1.30073E-05	 5.54516E-05	   0.0002139	 0.000746586	  0.00235786	  0.00673795	   0.0174224	   0.0407622	   0.0862936	    0.165299	    0.286505	    0.449329	    0.637628	    0.818731	    0.951229	           1	    0.951229	    0.818731	    0.637628	    0.449329	    0.286505	    0.165299	   0.0862936	   0.0407622	   0.0174224	  0.00673795	  0.00235786	
[90]	 9.9465E-173	6.93708E-169	4.37777E-165	2.49977E-161	1.29157E-157	6.03819E-154	2.55426E-150	9.77677E-147	3.38606E-143	1.06112E-139	3.00889E-136	7.72002E-133	1.79226E-129	 3.7649E-126	7.15611E-123	1.23075E-119	1.91529E-116	2.69693E-113	3.43618E-110	3.96143E-107	4.13236E-104	3.90046E-101	 3.33122E-98	 2.57432E-95	 1.80008E-92	 1.13891E-89	 6.52019E-87	 3.37754E-84	 1.58311E-81	 6.71418E-79	 2.57659E-76	 8.94681E-74	   2.811E-71	 7.99144E-69	  2.0557E-66	 4.78481E-64	 1.00772E-61	 1.92038E-59	 3.31133E-57	 5.16642E-55	 7.29369E-53	 9.31699E-51	  1.0769E-48	 1.12627E-46	 1.06582E-44	 9.12629E-43	 7.07091E-41	 4.95709E-39	 3.14448E-37	 1.80485E-35	 9.37356E-34	 4.40492E-32	 1.87302E-30	 7.20639E-29	 2.50878E-27	 7.90276E-26	  2.2525E-24	 5.80928E-23	 1.35566E-21	 2.86252E-20	 5.46911E-19	 9.45489E-18	 1.47899E-16	 2.09337E-15	   2.681E-14	 3.10684E-13	  3.2577E-12	 3.09082E-11	 2.65342E-10	 2.06115E-09	 1.44872E-08	  9.2136E-08	 5.30206E-07	 2.76077E-06	 1.30073E-05	 5.54516E-05	   0.0002139	 0.000746586	  0.00235786	  0.00673795	   0.0174224	   0.0407622	   0.0862936	    0.165299	    0.286505	    0.449329	    0.637628	    0.818731	    0.951229	           1	    0.951229	    0.818731	    0.637628	    0.449329	    0.286505	    0.165299	   0.0862936	   0.0407622	   0.0174224	  0.00673795	
